Rank,Tool_Name,Primary_Category,Sub_Category,Pricing_Model,Starting_Price_USD,Monthly_Traffic_Est,User_Rating,Agentic_Capability_Score,API_Available,Release_Year,Active_Users_Est,Description
1,ChatGPT,Conversational AI,General Assistant,Freemium,20,1800000000,4.8,9.5,Yes,2022,180000000,"OpenAI's flagship conversational AI for text, code, and reasoning"
2,Gemini,Conversational AI,Multimodal AI,Freemium,19.99,500000000,4.7,9.3,Yes,2023,90000000,Google's multimodal AI integrated with Google Workspace
3,Canva AI,Image Generation,Design Assistant,Freemium,15,500000000,4.6,6.0,Yes,2023,170000000,AI design tools integrated in Canva
4,Character.AI,Conversational AI,Roleplay & Chat,Freemium,9.99,300000000,4.3,6.0,No,2022,20000000,AI characters for entertainment and roleplay
5,Claude,Conversational AI,General Assistant,Freemium,20,200000000,4.8,9.4,Yes,2023,50000000,Anthropic's safety-focused AI assistant with long context
6,Google Workspace AI,Productivity,Office Suite AI,Freemium,12,200000000,4.4,7.5,Yes,2023,6000000,AI features across Google Docs Sheets Gmail
7,Perplexity AI,Research & Search,AI Search Engine,Freemium,20,100000000,4.6,8.5,Yes,2022,15000000,AI-powered answer engine with real-time web search
8,Grammarly,Writing & Content,Grammar & Style,Freemium,30,100000000,4.5,6.0,Yes,2009,30000000,"AI writing assistant for grammar, tone and style"
9,Microsoft 365 Copilot,Productivity,Office Suite AI,Paid,30,100000000,4.5,8.0,Yes,2023,345000,AI assistant across all Microsoft 365 apps
10,GitHub Copilot,Coding Assistant,Code Completion,Paid,10,80000000,4.6,8.0,Yes,2021,15000000,AI pair programmer integrated into VS Code and JetBrains
11,Teams Copilot,Productivity,Meeting AI,Paid,30,80000000,4.3,7.5,Yes,2023,300000,Microsoft Copilot integrated in Teams
12,HubSpot AI,Marketing,CRM & Marketing,Freemium,0,60000000,4.3,7.0,Yes,2023,194000,AI features in HubSpot's marketing platform
13,Midjourney,Image Generation,Art Generation,Paid,10,50000000,4.7,5.0,No,2022,16000000,Discord-based AI art generator known for stunning imagery
14,DeepL,Translation,Language Translation,Freemium,8.74,50000000,4.7,3.0,Yes,2017,10000000,Neural machine translation with high accuracy
15,Adobe Firefly,Image Generation,Creative Suite,Freemium,4.99,50000000,4.5,5.0,Yes,2023,30000000,Adobe's generative AI for creative workflows
16,Duolingo Max,Education,Language Learning,Paid,14.99,50000000,4.6,7.0,No,2023,5000000,AI-powered language learning with GPT-4
17,Wix ADI,Web Builder,Website Creation,Freemium,17,50000000,4.1,6.0,No,2016,10000000,AI website design and creation tool
18,Zoom AI Companion,Productivity,Meeting AI,Freemium,0,50000000,4.3,7.0,No,2023,350000,AI meeting assistant in Zoom platform
19,Stable Diffusion,Image Generation,Open Source Image,Free,0,40000000,4.4,4.5,Yes,2022,20000000,Open-source text-to-image model by Stability AI
20,Notion AI,Productivity,Workspace AI,Freemium,10,40000000,4.5,7.0,Yes,2023,20000000,AI writing and summarization inside Notion workspace
21,Salesforce Einstein,Marketing,CRM AI,Paid,75,40000000,4.2,8.0,Yes,2016,150000,AI embedded across Salesforce CRM
22,DALL-E 3,Image Generation,Photo Realistic,API/Paid,0,30000000,4.5,4.0,Yes,2023,10000000,OpenAI's image generation model via ChatGPT and API
23,Replit AI,Coding Assistant,Cloud IDE,Freemium,25,30000000,4.3,7.5,Yes,2023,4000000,AI-powered cloud coding environment
24,ElevenLabs,Audio & Voice,Voice Synthesis,Freemium,5,30000000,4.7,6.0,Yes,2022,2000000,AI voice synthesis and cloning platform
25,Zapier AI,Automation,Workflow Automation,Freemium,29.99,30000000,4.4,8.5,Yes,2023,5000000,AI-powered workflow automation and integrations
26,Hugging Face,Developer Tools,ML Platform,Freemium,9,30000000,4.7,7.0,Yes,2016,5000000,Hub for open-source ML models and datasets
27,Remove.bg,Image Generation,Background Removal,Freemium,9,30000000,4.4,2.0,Yes,2019,10000000,AI background removal from images
28,Wolfram Alpha,Research & Search,Math & Science,Freemium,7.99,30000000,4.5,6.0,Yes,2009,8000000,Computational knowledge engine
29,Remini,Image Generation,Photo Enhancement,Freemium,9.99,30000000,4.3,3.0,No,2019,30000000,AI photo enhancer and restorer
30,Jira AI,Productivity,Issue Tracking,Freemium,8.15,30000000,4.2,6.5,Yes,2023,10000000,AI features in Atlassian Jira
31,Slack AI,Productivity,Team Communication,Paid,12.5,30000000,4.5,7.0,Yes,2023,38000000,AI search and summarization in Slack
32,Cursor,Coding Assistant,AI Code Editor,Freemium,20,20000000,4.7,8.5,Yes,2023,500000,AI-first code editor built on VS Code with GPT-4
33,RunwayML,Video Generation,AI Video Editing,Freemium,15,20000000,4.5,6.5,Yes,2018,3000000,Creative AI tools for video generation and editing
34,Zendesk AI,Customer Support,Help Desk AI,Paid,55,20000000,4.2,7.5,Yes,2023,100000,AI-powered customer support automation
35,Pi by Inflection,Conversational AI,Personal Assistant,Free,0,20000000,4.4,7.0,No,2023,2000000,Personal AI designed for empathetic conversation
36,Lensa AI,Image Generation,Photo Enhancement,Freemium,7.99,20000000,4.1,3.0,No,2018,10000000,AI photo editor and avatar generator
37,Calendly AI,Productivity,Scheduling,Freemium,12,20000000,4.4,5.0,Yes,2013,20000000,AI scheduling assistant for meetings
38,Coursera Coach,Education,Course AI,Freemium,59,20000000,4.2,6.5,No,2023,1000000,AI learning coach on Coursera platform
39,Azure OpenAI,Developer Tools,Cloud AI,Pay-per-use,0,20000000,4.4,9.0,Yes,2021,200000,Microsoft's managed OpenAI service on Azure
40,Semrush AI,Marketing,SEO Suite,Freemium,129.95,20000000,4.5,6.5,Yes,2022,10000000,AI features in Semrush's SEO platform
41,Airtable AI,Productivity,Database AI,Freemium,20,20000000,4.3,6.5,Yes,2023,500000,AI features in Airtable's database platform
42,Webex AI,Productivity,Meeting AI,Freemium,22.5,20000000,4.1,6.5,Yes,2023,50000,AI features in Cisco Webex platform
43,Suno,Audio & Voice,Music Generation,Freemium,8,15000000,4.5,4.5,No,2023,5000000,AI music generation from text prompts
44,Intercom Fin,Customer Support,AI Customer Service,Paid,39,15000000,4.4,8.0,Yes,2023,25000,AI customer service agent by Intercom
45,Llama 3,Developer Tools,Open LLM,Free,0,15000000,4.6,8.5,Yes,2024,5000000,Meta's open-source large language model family
46,Webflow AI,Web Builder,Website Creation,Freemium,23,15000000,4.4,6.0,Yes,2023,500000,AI features in Webflow's visual web builder
47,Ahrefs AI,Marketing,SEO Suite,Paid,99,15000000,4.6,5.5,Yes,2023,500000,AI writing tools in Ahrefs SEO suite
48,Monday AI,Productivity,Project Management,Paid,12,15000000,4.4,6.5,Yes,2023,225000,AI automation in Monday.com work platform
49,ClickUp AI,Productivity,Project Management,Freemium,7,15000000,4.4,7.0,Yes,2023,800000,AI writing and summarization in ClickUp
50,Asana AI,Productivity,Project Management,Paid,13.49,15000000,4.3,6.5,Yes,2023,139000,AI workflow and project automation in Asana
51,Confluence AI,Productivity,Knowledge Base,Paid,5.75,15000000,4.2,6.0,Yes,2023,75000,AI writing assistant in Confluence wiki
52,Jasper,Writing & Content,Marketing Copy,Paid,49,10000000,4.3,7.0,Yes,2021,100000,AI content platform for marketing teams
53,Otter.ai,Productivity,Meeting Transcription,Freemium,17,10000000,4.3,6.0,Yes,2016,5000000,Real-time AI meeting transcription and notes
54,Sora,Video Generation,Text to Video,Paid,20,10000000,4.6,6.0,Yes,2024,500000,OpenAI's video generation model
55,HeyGen,Video Generation,AI Avatars,Freemium,24,10000000,4.4,6.0,Yes,2021,1000000,AI video generation with realistic avatars
56,Leonardo AI,Image Generation,Art Generation,Freemium,12,10000000,4.5,5.0,Yes,2022,3000000,AI image generation focused on game assets
57,Make (Integromat),Automation,Workflow Automation,Freemium,9,10000000,4.3,7.5,Yes,2012,500000,Visual automation platform with AI capabilities
58,Mistral AI,Developer Tools,Open LLM,Freemium,0,10000000,4.5,9.0,Yes,2023,1000000,Open-source efficient large language models
59,Socratic by Google,Education,Homework Help,Free,0,10000000,4.4,5.0,No,2018,5000000,AI homework helper for students
60,Vertex AI,Developer Tools,ML Platform,Pay-per-use,0,10000000,4.4,9.0,Yes,2021,100000,Google Cloud's managed ML platform
61,AWS Bedrock,Developer Tools,Cloud AI,Pay-per-use,0,10000000,4.3,8.5,Yes,2023,50000,Amazon's managed generative AI service
62,Tabnine,Coding Assistant,Code Completion,Freemium,15,10000000,4.3,7.0,Yes,2019,1000000,AI code completion for all major languages
63,Framer AI,Web Builder,Website Creation,Freemium,20,10000000,4.4,6.5,Yes,2023,1000000,AI-powered web design and publishing
64,Buffer AI,Marketing,Social Media,Freemium,6,10000000,4.3,6.0,Yes,2023,1000000,AI writing assistant in Buffer social scheduler
65,Hootsuite AI,Marketing,Social Media,Paid,99,10000000,4.2,6.5,Yes,2023,200000,AI content generation in Hootsuite platform
66,Fotor AI,Image Generation,Photo Editing,Freemium,8.99,10000000,4.2,4.0,Yes,2022,5000000,AI photo editing and design tool
67,Whisper,Developer Tools,Speech Recognition,Free,0,10000000,4.6,4.5,Yes,2022,1000000,OpenAI's open-source speech recognition model
68,Copy.ai,Writing & Content,Marketing Copy,Freemium,36,8000000,4.2,6.5,Yes,2020,2000000,"AI copywriting tool for ads, emails and social posts"
69,Pika Labs,Video Generation,Text to Video,Freemium,8,8000000,4.2,5.5,No,2023,1500000,AI video generation from text and images
70,Synthesia,Video Generation,AI Avatars,Paid,29,8000000,4.4,6.0,Yes,2017,50000,Enterprise AI video creation with avatars
71,LangChain,Developer Tools,Agent Framework,Free,0,8000000,4.4,9.7,Yes,2022,500000,Framework for building LLM-powered applications
72,Freshdesk AI,Customer Support,Help Desk AI,Freemium,15,8000000,4.1,7.0,Yes,2020,50000,Freddy AI embedded in Freshdesk support platform
73,Cohere,Developer Tools,Enterprise LLM,Paid,0,8000000,4.3,8.5,Yes,2019,500000,NLP API for enterprise search and generation
74,Obsidian AI,Productivity,Note Taking,Freemium,10,8000000,4.6,5.0,Yes,2020,1000000,AI plugins for Obsidian knowledge management
75,InVideo AI,Video Generation,Marketing Video,Freemium,20,8000000,4.3,5.5,Yes,2019,3000000,AI video maker with templates and voiceovers
76,Writesonic,Writing & Content,Blog & SEO,Freemium,16,6000000,4.2,6.5,Yes,2021,1000000,AI writer with SEO optimization and factual content
77,Runway Gen-3,Video Generation,AI Video,Paid,35,6000000,4.6,6.5,Yes,2024,500000,Next-gen AI video creation with motion control
78,Fireflies.ai,Productivity,Meeting Assistant,Freemium,18,5000000,4.4,7.5,Yes,2020,500000,"AI notetaker that records, transcribes and analyzes meetings"
79,Udio,Audio & Voice,Music Generation,Freemium,10,5000000,4.3,4.0,No,2024,1000000,High-quality AI music creation tool
80,Murf AI,Audio & Voice,Text to Speech,Freemium,19,5000000,4.4,4.5,Yes,2020,500000,AI voice generator for videos and podcasts
81,Descript,Audio & Voice,Podcast & Video,Freemium,24,5000000,4.4,6.5,Yes,2017,300000,AI audio/video editor with transcription
82,AutoGPT,Agentic AI,Autonomous Agent,Free,0,5000000,3.9,9.8,Yes,2023,200000,Open-source autonomous AI agent framework
83,n8n,Automation,Workflow Automation,Free,20,5000000,4.5,8.0,Yes,2019,100000,Open-source workflow automation with AI nodes
84,Drift,Marketing,Conversational Marketing,Paid,40,5000000,4.1,7.5,Yes,2015,50000,AI chatbot for B2B lead generation
85,Weights & Biases,Developer Tools,ML Ops,Freemium,0,5000000,4.5,5.0,Yes,2017,300000,MLOps platform for experiment tracking
86,Replicate,Developer Tools,Model API,Pay-per-use,0,5000000,4.4,7.0,Yes,2022,200000,Run open-source AI models via API
87,Cleanup.pictures,Image Generation,Image Editing,Freemium,7,5000000,4.3,2.0,Yes,2020,2000000,AI object removal from photos
88,Topaz Photo AI,Image Generation,Photo Enhancement,Paid,199,5000000,4.6,3.0,No,2021,500000,AI photo enhancement and upscaling suite
89,Scribe,Productivity,Documentation,Freemium,29,5000000,4.5,5.0,Yes,2020,500000,AI tool to auto-generate step-by-step guides
90,Tome,Productivity,Presentation AI,Freemium,20,5000000,4.2,6.5,Yes,2021,1000000,AI-native presentation and storytelling tool
91,Beautiful.ai,Productivity,Presentation AI,Freemium,12,5000000,4.2,5.0,Yes,2018,500000,Smart presentation tool with AI design
92,Gamma,Productivity,Presentation AI,Freemium,15,5000000,4.4,6.0,Yes,2022,2000000,AI presentation builder from text prompts
93,Semantic Scholar,Research & Search,Academic Search,Free,0,5000000,4.5,5.0,Yes,2015,2000000,AI-powered academic search by Allen Institute
94,Codeium,Coding Assistant,Code Completion,Freemium,15,5000000,4.4,7.5,Yes,2021,500000,Free AI code completion and chat
95,Sourcegraph Cody,Coding Assistant,Code Understanding,Freemium,9,5000000,4.3,8.0,Yes,2023,200000,AI coding assistant with codebase awareness
96,Amazon CodeWhisperer,Coding Assistant,Code Completion,Freemium,19,5000000,4.2,7.0,Yes,2022,500000,Amazon's AI code generator for cloud apps
97,Brandwatch AI,Marketing,Social Listening,Paid,1000,5000000,4.2,6.0,Yes,2023,5000,AI-powered social media intelligence platform
98,Deep Nostalgia,Image Generation,Photo Animation,Freemium,12,5000000,4.0,3.5,No,2021,2000000,Animate old family photos using AI
99,NightCafe,Image Generation,Art Generation,Freemium,10,5000000,4.3,4.0,No,2019,3000000,AI art generator with multiple algorithms
100,Captions,Video Generation,Auto Captioning,Freemium,13.99,5000000,4.4,5.0,No,2021,2000000,AI video captions and editing app
101,Opus Clip,Video Generation,Short-form Video,Freemium,15,5000000,4.4,6.0,Yes,2022,1000000,AI tool to repurpose long videos into clips
102,Krisp,Audio & Voice,Noise Cancellation,Freemium,16,5000000,4.5,4.0,Yes,2017,2000000,AI noise cancellation for calls and recordings
103,Rev AI,Audio & Voice,Transcription,Freemium,1.5,5000000,4.3,4.0,Yes,2010,500000,AI and human transcription services
104,Deep AI,Developer Tools,AI APIs,Freemium,5,5000000,4.1,5.0,Yes,2016,500000,Collection of AI APIs for developers
105,Supabase AI,Developer Tools,AI Database,Freemium,25,5000000,4.5,7.0,Yes,2023,500000,Vector search and AI features in Supabase
106,ManyChat,Marketing,Chatbot Marketing,Freemium,15,5000000,4.4,7.0,Yes,2015,1000000,AI chatbot for Instagram Facebook marketing
107,Tidio,Customer Support,Live Chat AI,Freemium,29,5000000,4.4,7.5,Yes,2019,500000,AI customer service chatbot for ecommerce
108,Nimbus Bot,Writing & Content,Social Media Writing,Paid,11.29,4912906,4.27,6.57,Yes,2021,254710,AI writing tool for generating high-quality content at scale
109,Terra Studio,Writing & Content,Social Media Writing,Freemium,14.24,4826626,4.49,6.91,No,2024,198010,AI writing tool for generating high-quality content at scale
110,Vapor Intelligence,Marketing,Email Marketing AI,Paid,52.82,4547499,4.49,6.49,Yes,2023,149934,"AI marketing tool for campaigns, content, and analytics"
111,Koral Suite,Writing & Content,Social Media Writing,Paid,24.33,4265690,4.34,6.76,Yes,2025,219454,AI writing tool for generating high-quality content at scale
112,Ember Genius,Education,Homework Helper,Freemium,10.08,4112596,3.99,5.76,No,2025,342932,AI-powered educational tool for personalized learning
113,Pictory,Video Generation,Marketing Video,Freemium,19,4000000,4.2,4.5,Yes,2021,300000,AI video creation from scripts and articles
114,Pictory AI,Video Generation,Social Video,Freemium,19,4000000,4.2,4.5,Yes,2021,300000,Short-form AI video creation for social media
115,Sigma Mind,Education,AI Tutoring,Freemium,29.94,3830231,4.39,6.37,Yes,2023,69643,AI-powered educational tool for personalized learning
116,Quartz Bot,Writing & Content,Blog Writing,Freemium,47.83,3823939,4.26,6.35,Yes,2021,66295,AI writing tool for generating high-quality content at scale
117,Rhino Suite,Marketing,Email Marketing AI,Freemium,70.22,3631487,4.13,6.03,Yes,2022,176419,"AI marketing tool for campaigns, content, and analytics"
118,Warp Flow,Education,Homework Helper,Paid,19.5,3547937,4.31,6.63,No,2023,343680,AI-powered educational tool for personalized learning
119,Koral Vision,Education,Homework Helper,Paid,17.17,3547535,4.26,5.23,No,2022,51151,AI-powered educational tool for personalized learning
120,Iris Pilot,Writing & Content,Blog Writing,Freemium,32.59,3265270,4.34,5.82,Yes,2023,428043,AI writing tool for generating high-quality content at scale
121,Rhino Mind,Marketing,Email Marketing AI,Paid,93.77,3123242,4.09,6.32,Yes,2023,311493,"AI marketing tool for campaigns, content, and analytics"
122,Lumen5,Video Generation,Marketing Video,Freemium,29,3000000,4.1,4.5,Yes,2017,800000,AI video creation from blog posts and articles
123,AgentGPT,Agentic AI,Autonomous Agent,Freemium,40,3000000,3.8,9.5,Yes,2023,100000,Deploy autonomous AI agents in the browser
124,Upscayl,Image Generation,Image Upscaling,Free,0,3000000,4.3,2.0,Yes,2022,500000,Free open-source AI image upscaler
125,Taskade,Productivity,Project Management,Freemium,19,3000000,4.3,7.5,Yes,2019,200000,AI-powered project management and collaboration
126,Motion,Productivity,Calendar AI,Paid,34,3000000,4.3,7.0,Yes,2019,50000,AI calendar and task scheduling automation
127,Consensus,Research & Search,Academic Search,Freemium,9.99,3000000,4.3,6.5,Yes,2021,200000,AI search engine for scientific research
128,ChatPDF,Research & Search,Document Analysis,Freemium,5,3000000,4.1,5.5,No,2023,500000,Upload PDFs and ask questions with AI
129,10Web,Web Builder,WordPress AI,Paid,20,3000000,4.0,5.5,Yes,2019,200000,AI WordPress website builder and hosting
130,Surfer SEO,Marketing,SEO Optimization,Paid,89,3000000,4.4,6.5,Yes,2017,100000,AI content editor for SEO optimization
131,Fliki,Video Generation,Text to Video,Freemium,28,3000000,4.3,5.0,Yes,2021,300000,Text to video with AI voices and visuals
132,Artbreeder,Image Generation,Art Generation,Freemium,8.99,3000000,4.2,4.0,No,2018,1000000,Collaborative AI art generation and mixing
133,Adobe Podcast,Audio & Voice,Podcast Enhancement,Free,0,3000000,4.5,4.5,No,2022,1000000,AI audio enhancement for podcast recordings
134,Pinecone,Developer Tools,Vector Database,Freemium,70,3000000,4.4,7.0,Yes,2021,20000,Managed vector database for AI applications
135,Linear AI,Productivity,Issue Tracking,Paid,8,3000000,4.6,6.0,Yes,2023,100000,AI features in Linear project management
136,Nodus Mind,Education,Homework Helper,Paid,13.07,2970589,3.96,6.46,No,2025,255311,AI-powered educational tool for personalized learning
137,Glyph Mind,Marketing,Ad Copy AI,Freemium,58.52,2946743,4.49,5.63,No,2024,173407,"AI marketing tool for campaigns, content, and analytics"
138,Onyx Hub,Coding Assistant,Test Generation,Freemium,34.94,2941406,4.09,8.28,Yes,2022,133454,AI-powered coding assistant for faster and smarter software development
139,Cipher Spark,Education,AI Tutoring,Paid,14.29,2895592,4.35,8.0,Yes,2022,497126,AI-powered educational tool for personalized learning
140,Echo Studio,Marketing,Ad Copy AI,Freemium,32.44,2891401,4.02,5.16,Yes,2024,284626,"AI marketing tool for campaigns, content, and analytics"
141,Koral Forge,Writing & Content,Email Writing,Paid,13.33,2869757,4.02,6.97,Yes,2024,247311,AI writing tool for generating high-quality content at scale
142,Ember Suite,Writing & Content,Blog Writing,Freemium,24.06,2851328,4.41,5.79,No,2024,154752,AI writing tool for generating high-quality content at scale
143,Zenith Studio,Image Generation,Illustration,Paid,23.96,2832158,4.13,4.18,Yes,2025,40876,AI image generation and creative visual content platform
144,Unity Vision,Writing & Content,Social Media Writing,Freemium,26.42,2817331,4.39,6.71,Yes,2025,190075,AI writing tool for generating high-quality content at scale
145,Rhino Forge,Coding Assistant,Test Generation,Paid,34.36,2799728,4.0,8.72,No,2023,161414,AI-powered coding assistant for faster and smarter software development
146,Unity GPT,Image Generation,Logo Design,Paid,13.02,2798641,4.05,3.72,No,2025,997703,AI image generation and creative visual content platform
147,Nova AI,Image Generation,Product Photo,Freemium,47.21,2708171,4.37,4.3,No,2022,83105,AI image generation and creative visual content platform
148,Warp Pilot,Marketing,Email Marketing AI,Paid,32.92,2669796,4.37,7.38,Yes,2023,76031,"AI marketing tool for campaigns, content, and analytics"
149,Karma Studio,Audio & Voice,Voice Cloning,Paid,11.53,2656430,4.12,5.11,No,2025,266115,AI audio processing and voice synthesis solution
150,Atlas Suite,Education,AI Tutoring,Freemium,22.64,2529524,4.36,6.58,No,2023,176124,AI-powered educational tool for personalized learning
151,Helix Pro,Writing & Content,Blog Writing,Paid,35.91,2507738,4.25,5.23,Yes,2024,87230,AI writing tool for generating high-quality content at scale
152,Quartz Intelligence,Marketing,Email Marketing AI,Freemium,32.8,2391381,4.17,7.88,Yes,2020,181389,"AI marketing tool for campaigns, content, and analytics"
153,Koral Pilot,Education,Homework Helper,Freemium,14.52,2358494,4.37,5.09,No,2025,208141,AI-powered educational tool for personalized learning
154,Neon Engine,Education,Homework Helper,Paid,17.57,2332169,4.28,6.36,No,2021,325516,AI-powered educational tool for personalized learning
155,Arcane Engine,Video Generation,Background Removal,Freemium,16.19,2267194,4.45,3.39,Yes,2025,260999,AI-powered video creation and editing platform
156,Koral Flow,Coding Assistant,Debugging AI,Freemium,22.95,2234185,4.16,6.82,No,2021,298563,AI-powered coding assistant for faster and smarter software development
157,Echo Genius,Image Generation,Illustration,Freemium,10.81,2233552,4.03,5.85,Yes,2024,290113,AI image generation and creative visual content platform
158,Synth Genius,Marketing,Email Marketing AI,Freemium,98.12,2221389,4.03,7.53,Yes,2021,476273,"AI marketing tool for campaigns, content, and analytics"
159,Ultra GPT,Marketing,Email Marketing AI,Paid,39.19,2205712,4.17,6.16,Yes,2022,98477,"AI marketing tool for campaigns, content, and analytics"
160,Raven Pro,Image Generation,3D Rendering,Freemium,16.32,2172807,4.44,5.9,Yes,2023,59393,AI image generation and creative visual content platform
161,Orbit Engine,Writing & Content,Social Media Writing,Freemium,16.95,2153178,4.23,5.52,Yes,2025,385076,AI writing tool for generating high-quality content at scale
162,Unity Suite,Marketing,Ad Copy AI,Freemium,90.12,2148378,4.02,5.52,Yes,2025,147432,"AI marketing tool for campaigns, content, and analytics"
163,Xenon Plus,Writing & Content,Email Writing,Paid,24.19,2051935,4.14,5.81,Yes,2022,260061,AI writing tool for generating high-quality content at scale
164,Tavus,Video Generation,Personalized Video,Paid,0,2000000,4.2,6.0,Yes,2020,50000,AI personalized video generation at scale
165,DeepDream,Image Generation,Art Generation,Free,0,2000000,3.8,2.0,No,2015,1000000,Google's neural network art style generator
166,Mem AI,Productivity,Note Taking,Paid,14.99,2000000,4.1,7.0,Yes,2020,100000,AI note-taking with automatic organization
167,Reclaim AI,Productivity,Calendar AI,Freemium,10,2000000,4.4,7.0,Yes,2020,200000,AI scheduling tool that protects focus time
168,Khanmigo,Education,AI Tutor,Freemium,4,2000000,4.5,7.5,No,2023,500000,Khan Academy's AI tutoring assistant
169,Elicit,Research & Search,Academic Search,Freemium,12,2000000,4.3,7.0,Yes,2021,100000,AI research assistant for academic papers
170,Scite,Research & Search,Citation Analysis,Freemium,20,2000000,4.3,5.5,Yes,2018,200000,AI platform for smart citation analysis
171,Humata,Research & Search,Document Analysis,Freemium,9.99,2000000,4.2,6.5,Yes,2023,100000,Chat with your PDFs and documents using AI
172,Dify,Developer Tools,LLM App Builder,Free,0,2000000,4.5,9.0,Yes,2023,50000,Open-source LLM application development platform
